,이름,설명,평가,내용
234,세종대왕 어주 탁주,<산가요록>의 술을 재해석한 탁주,"산뜻한 과실향과 은은한 꽃향기가 어우러진, 깔끔한 스타일의 탁주예요. 산미가 좋으며 고소한 곡물향으로 끝나요.은은한 누룩향과 알코올이 느껴질 정도로 도수가 있으며, 살짝 떫은맛이 있어 자극적인 음식과 잘 어울려요.","세종대왕 어주 탁주, 어떤 술인가요?
세종 보필하던 어의의 술을 재해석한 탁주
세종대왕 어주는 세종 재위 당시를 포함해 조선 초기 어의로 있던 전순의의 저서 <산가요록>에 나온 황금주를 현대 양조기술로 재현한 술입니다.
세종대왕 어주 탁주는 이를 탁하게 걸러 낸 제품이지요.
충북 청주 초정리에서 각종 술과 발효식품을 만드는 장희도가에서 빚고 있습니다.
기분 좋은 과실향과 곡향, 가벼운 산미와 단 맛이 완벽한 조화를 이루는 탁주로, 알코올 도수가 13도에 이르지만 부드럽고 깔끔해 감탄을 자아내는 술입니다.
세종대왕 어주 탁주, 어떻게 만드나요?
'건강기능 향상 전통주 생산 특허' 출원
충북 청주 초정리에 터를 둔 장희도가는 농림축산식품부로부터 유기가공식품 인증을 획득한 유기농 찹쌀을 사용해 다양한 발효식품을 만들고 술을 빚습니다.
세종대왕 어주 탁주 역시 해당 유기농 찹쌀을 활용해 만들지요.
뿐만 아니라 천연 약수로 유명한 초정약수로 술을 빚어내 술에 특유의 미네랄감, 광물감을 부여하는데요.
장희도가는 초정 지역에서 나는 광천수로 건강기능성을 갖춘 전통주를 생산하는 특허를 가지고 있기도 합니다.
세종대왕 어주 탁주, 음식과의 궁합은?
두부김치 / 도토리묵무침
제육볶음
세종대왕 어주 탁주는 부담 없는 단 맛과 새콤한 맛의 균형이 담백하고 깔끔하게 이어지는 술인데요.
두부김치나 도토리묵무침과 같이 비교적 무난한 막걸리 안주를 곁들여 먹기에 좋습니다.
제육볶음 등 살짝 맵게 조리한 음식도 잘 어울릴 수 있지만, 술 맛을 제대로 느끼려면 지나치게 자극적인 음식은 피하기를 추천합니다."
235,고흥 풍양 유자막걸리,은은한 유자 향을 품은 막걸리,"3년간 발효시킨 유자액을 넣어 만든 유자막걸리로 상큼한 유자향과 달콤한 맛, 부드러운 목넘김과 깔끔한 끝맛을 가지고 있습니다.","고흥 풍양 유자막걸리, 어떤 술인가요?
은은한 유자 향을 품은 막걸리
고흥 풍양 유자막걸리는 전라남도 고흥 풍양면에 자리한 청정영농조합에서 만드는 술입니다.
양조장이 있는 고흥, 그리고 풍양은 국내에서 유자를 가장 많이 생산하는 특산지로 유명하지요.
수확한 유자는 생과로 판매하기도 하고 다양한 유자 가공품으로 만들기도 하는데요.
고흥 풍양 유자막걸리도 그 중 하나입니다. 탄산이 적고 달달한 맛, 부담스럽지 않게 은은히 피어오르는 유자 향이 주를 이뤄 가볍게 마시기 좋은 막걸리입니다.
고흥 풍양 유자막걸리, 어떻게 만드나요?
맛의 핵심, 고흥의 햇살과 바람으로 키운 유자
고흥 풍양 유자막걸리에는 품질이 뛰어난 고흥 유자가 들어갑니다.
고흥 유자는 한반도 땅끝에 위치한 고흥의 따뜻한 햇살을 듬뿍 받고 해풍을 맞으며 자란다고 하는데요.
다른 지역에서 생산한 유자보다 당도가 높고 뛰어난 향과 맛을 지닌 것으로 정평이 나 있습니다.
노랗게 익은 유자는 가을 단풍 물드는 10월부터 약 두 달에 걸쳐 수확해 내지요.
이렇게 얻어낸 귀한 유자와 국내산 쌀로 만든 막걸리가 만나 고흥 풍양 유자막걸리가 만들어지게 됩니다.
고흥 풍양 유자막걸리, 음식과의 궁합은?
장어구이 / 전어회
고흥 풍양 유자막걸리는 향긋한 유자 향과 달콤한 맛, 부드러운 풍미가 잘 드러나는 술입니다.
고흥을 대표하는 또 다른 특산물인 장어와 전어를 활용한 장어구이, 전어회에 곁들여 먹기 좋은데요.
다소 기름지고 풍미가 가득한 장어구이와 전어회 맛을 유자막걸리가 상큼하고 청량감 있게 풀어내 줍니다."
236,문경 오미자 생막걸리,새콤달콤 오미자를 담아낸 막걸리,새콤달콤한 오미자의 맛과 향에 부드러운 질감이 더해졌습니다. 과일이 들어간 상큼한 막걸리를 찾으시는 분들께 추천드립니다.,"문경 오미자 생막걸리, 어떤 술인가요?
새콤달콤 오미자를 그대로 담아낸 막걸리
다섯 가지 맛을 낸다 하는 오미자.
성별과 나이를 불문하고 다양한 방식으로 사랑받는 열매입니다.
차나 청으로 잘 쓰이지만 술로 빚어 먹기도 하지요.
문경 오미자 생막걸리는 특별히 문경에서 난 오미자를 사용해 만든 막걸리인데요.
오미자가 드러내는 새콤한 과실미와 막걸리 특유의 단 맛이 합쳐져 지역 주민은 물론 온라인 소비자에게도 인기가 많습니다.
새콤하고 은은한 단 맛이 입맛을 돋우고, 차분한 분홍빛 술 색으로 눈까지 즐겁게 하는 제품입니다.
문경 오미자 생막걸리, 어떻게 만드나요?
오미자 막걸리 최초 생산자, 문경주조
문경 오미자 생막걸리는 지역 특산물인 문경 오미자를 사용해 술을 완성합니다.
문경은 오미자가 지천에 널려 있다고 할 정도로 오미자 생산량이 많은데요.
전국 오미자 판매량의 절반을 차지할 정도입니다. 그만큼 우수한 품질로 유명하지요.
이런 양질의 오미자를 넣어 만든 술은, 무형문화재로 지정된 명인이 만든 항아리에서 마시기 좋게 숙성됩니다.
문경주조는 오미자 생막걸리 제조법에 관한 특허(특허 제10-10066459호)를 가진 최초의 오미자 막걸리 생산자이기도 합니다.
문경 오미자 생막걸리, 음식과의 궁합은?
유자드레싱 샐러드
소고기스테이크
문경 오미자 생막걸리는 단 맛과 오미자의 새큼한 맛이 어우러진 술입니다.
유자드레싱 샐러드나 구운 소고기와 함께 마시기 좋은 특성을 보이는데요.
새콤달콤한 맛을 지닌 유자드레싱 샐러드에 곁들여 마시면 산미가 서로 상승작용을 해 더욱 풍성한 맛을 느낄 수 있습니다.
구운 소고기 역시 오미자 생막걸리를 곁들였을 때 훨씬 감칠맛이 잘 드러납니다.
 "
237,이화백주 순탁주,자연 탄산이 주는 경쾌한 청량감,"새콤달콤 과실향과 요거트향에 시원탄 탄산감이 매력적이며, 호불호 없이 인기가 좋습니다. 상큼하면서 청량감있는 탄산 막걸리를 찾으시는 분들께 추천드립니다.","이화백주 순탁주, 어떤 술인가요?
자연 탄산이 주는 경쾌한 청량감
이화백주 순탁주는 경상남도 양산에 자리한 이화백주 양조장에서 만드는 막걸리입니다.
풍부한 자연 탄산이 청량감을 주는 스파클링 막걸리로, 달콤하고 상큼한 풍미가 잘 드러나는 제품인데요.
텁텁한 맛이 없고 질감이 부드러워 누구나 거부감 없이 마시기 좋습니다.
다른 스파클링 막걸리처럼 뚜껑을 열 때 탄산이 아래부터 밀고 올라와 가라앉은 침전물을 섞어 주기 때문에 따로 흔들 필요가 전혀 없지요.
2017년에는 청와대 재외공관장 만찬 건배주로 쓰이기도 했습니다.
이화백주 순탁주, 어떻게 만드나요?
있는 그대로 만들어내는 술
이화백주 순탁주는 당해 수확해서 도정한 햅쌀과 전통 누룩을 사용해 빚어냅니다.
인위적인 방식으로 배양한 효모나 조효소제 등을 전혀 사용하지 않고 전통 방식으로 만든 누룩을 써 술에 특유의 향과 맛을 부여하는데요.
이화백주 순탁주의 시그니처인 풍성한 탄산 역시 발효에 따라 자연스레 발생한 것이지요.
앞선 과정을 통해 이화백주 순탁주는 막걸리 특유의 텁텁하고 쿰쿰한 풍미 대신 청량하고 가벼운 맛이 주를 이뤄, 호불호가 적은 특징을 갖게 됩니다.
이화백주 순탁주, 음식과의 궁합은?
프라이드 치킨
새우튀김
삼겹살
이화백주 순탁주는 강렬한 탄산감과 적당한 산미, 단 맛이 두드러지는 막걸리인데요.
프라이드 치킨이나 새우튀김 등 튀김 요리에 잘 맞습니다.
특유의 강한 탄산과 새콤한 산미가 기름에 튀겨낸 프라이드 치킨과 새우튀김이 가지고 있는 느끼한 맛을 씻어냅니다.
같은 맥락으로 삼겹살 등 기름진 육고기와 먹어도 잘 어울립니다.
 "
238,한산모시생막걸리,한산 모시를 넣어 만든 건강 막걸리,"부드러운 쌀 향과 시원한 과일향을 가진 가볍고 달콤한 막걸리로 기름진 음식과도 궁합이 좋고, 가벼운 나물류 무침과도 잘 어울립니다.시원한 쌀 풍미로 잘 알려진 제품입니다. 매끈한 목넘김과 후미에서 오는 상쾌한 맛, 은은한 과실향이 특징이에요.","한산모시생막걸리, 어떤 술인가요?
한산 모시를 넣어 만든 건강 막걸리
충청남도 한산 지역은 모시로 유명합니다.
질 좋은 모시를 이용해 각종 의류는 물론 모시 송편 등 식품을 만들기도 하는데요.
이 모시로 막걸리까지 만든다는 사실, 알고 계신가요?
서천에 자리한 한산모시양조장에서 생산하는 한산모시생막걸리는 한산 모시잎을 넣어 만드는 막걸리입니다.
철과 칼륨, 마그네슘, 칼슘 등 인체에 도움을 주는 성분이 들어있지요.
시원한 탄산감에 깔끔한 뒷맛을 가지고 있어 서천 지역의 별미로 꼽힐 만한 술입니다.
한산모시생막걸리, 어떻게 만드나요?
제조 특허까지 낸 모시 막걸리 양조법
한산모시생막걸리는 쌀과 모시잎 분말, 밀을 사용해 만듭니다.
생산자인 한산모시 양조장은 한산 모시를 사용해서 막걸리를 만드는 제조 특허(특허 제 10-1039882호)를 가지고 있기도 한데요.
특허 방식에 따른 특별 공정과 생산방식으로 모시가 가진 맛과 몸에 좋은 성분을 잘 담아 냅니다.
양조 공간에는 전통 생산 방식과 현대적인 설비가 잘 접목돼 있어, 한산모시생막걸리는 철저하고 잘 짜여진 공정 속에서 신뢰할 만한 품질로 만들어지게 됩니다.
한산모시생막걸리, 음식과의 궁합은?
꼬막무침
도토리묵무침
한산모시생막걸리는 모시 잎 향과 은은한 단 맛, 개운하고 깔끔한 뒷맛이 잘 어우러지는 막걸리입니다.
꼬막무침이나 도토리묵무침 등 상큼하고 적당히 짠 기운이 도는 안주에 곁들이기 좋은 스타일인데요.
한산모시생막걸리의 향긋한 모시 향은 안주가 가진 감칠맛을 더욱 높여 주고, 달콤한 풍미는 짭짤한 양념장 맛을 개운하게 풀어내 주는 역할을 합니다.
 "
239,루드베리,"탄산 톡톡, 충주 사과와 딸기의 만남",최근 이탈리아에서 과일과 회를 페어링해서 먹는 게 유행인데 과일을 대신하여 이 술과 회를 함께 먹는다면 완벽한 와인이 될거예요.사과로 만든 발포주인 '사이더'에 딸기와 바질로 맛을 더한 버전입니다. 새콤달콤 가볍고 시원하게 즐길 술을 찾는 분들에게 추천드려요.,"루드베리, 어떤 술인가요?
탄산감 톡톡.
충주 사과와 딸기의 만남, 루드베리
루드베리는 100% 국내산 사과에 딸기, 바질이 더해진 과실주입니다.
해외에서는 사과로 만든 과실주를 ‘사이더’라고 부르는데요. 유럽 등 해외에서는 오래 전부터 사랑받고 있는 술입니다.
사과의 달달함, 딸기의 새콤달콤함, 바질의 상큼함, 세 가지의 밸런스가 매우 훌륭하며, 저도수로 알코올감이 거의 느껴지지 않습니다.
톡톡튀는 스파클링은 마치 음료수와 같은 느낌을 주는데요.
음료수는 조금 그렇고, 도수가 높은 술은 부담스러울 때, 저도수의 루드베리로 부담없이 즐겨보시길 바랍니다.
루드베리, 어떻게 만드나요?
국내유일 딸기과실주의 탄생
100% 충북 충주 인근에서 생산된 사과와 딸기로 빚은 과실주인 루드베리는 착즙한 사과즙에 국산 딸기를 블렌딩하였습니다.
인공착향료, 설탕, 색소로 맛을 내는 것이 아닌, 사과와 딸기 본연의 맛과 색을 그대로를 살려 제조하였습니다.
지역 특산물 소비 촉진을 위해, 충주 사과 이외에도 다양한 원재료 조합을 진행하며 연구개발을 진행하였고,
이렇게 국내 유일 딸기사이더인 루드베리가 탄생할 수 있었습니다.
루드베리, 음식과의 궁합은?
돈까스
파스타
피자
댄싱사이더 컴퍼니 제품 중 저도수에 속하는 루드베리는 음료같이 달콤하면서도 톡톡튀는 탄산감이 특징이라
평소 탄산음료와 같이 먹었던 음식에 음료를 대신해서 드시면 그 어디든 잘 어울리는데요.
대표적인 음식으로는 돈까스, 스파게티, 피자에 곁들여 드시는 것을 추천드리고 싶네요.
다소 많이 먹으면 부담스러운 음식인 돈까스, 스파게티, 피자 등에 루드베리 한 모금씩 홀짝홀짝 마시다 보면 톡톡 튀는 스파클링이 느끼함을 달래줄 거예요.
 "
240,괴산 세종 찰옥수수 전통주,구수한 찰옥수수 풍미를 간직한 술,달콤한 옥수수의 향과 맛이 입안 가득 맴돌아 편하게 마시기 좋은 막걸리입니다. 마치 옥수수아이스크림을 먹는 듯한 느낌을 줍니다.,"괴산 세종 찰옥수수 전통주, 어떤 술인가요?
’달달구수’ 찰옥수수 풍미를 간직한 술
옥수수 특유의 향과 맛을 잘 담아낸 우리술, 세종 찰옥수수 전통주는 충북 청주에 자리한 조은술세종 양조장이 생산을 맡고 있습니다.
누룽지처럼 고소한 향과 달고 부드러운 찰옥수수 맛이 특징인데요.
막걸리 특유의 누룩취가 없으며 적당한 산미를 가져 음용성이 좋습니다.
호불호가 크게 갈리지 않는 맛으로 성별과 나이를 뛰어넘어 많은 인기를 얻고 있는 제품입니다.
살균제품으로 보관시에는 냉장이 필요 없지만, 마시기 전에는 차갑게 해서 마셔야 더욱 술 맛이 좋습니다.
괴산 세종 찰옥수수 전통주, 어떻게 만드나요?
괴산 특산물, ‘대학 찰옥수수’ 첨가
괴산 세종 찰옥수수 전통주는 충북 괴산의 특산물, '괴산 대학 찰옥수수'가 함유된 제품입니다.
괴산 대학 찰옥수수는 일반 옥수수에 비해 당도가 높고 감칠맛을 내는 지역 특산물로 잘 알려져 있지요.
이외에도 국내산 친환경 쌀을 사용해 술을 빚는 등 괴산 세종 찰옥수수 전통주를 생산하는 조은술세종은 좋은 재료를 쓰는 데 아낌이 없습니다.
계절에 따른 보관 편의성을 높이고 오래 두고 먹을 수 있도록 살균 처리를 해서 취급이 어렵지 않게 생산하기도 합니다.
괴산 세종 찰옥수수 전통주, 음식과의 궁합은?
제육볶음
낙지볶음
괴산 세종 찰옥수수 전통주는 달고 구수한 향과 맛이 주를 이루는 술인데요.
제육볶음이나 낙지볶음 등 매운 양념으로 조리한 안주와 잘 어울립니다.
고추, 고추장, 고춧가루 등을 활용해 맵게 만든 안주에 괴산 세종 찰옥수수 전통주를 곁들이면 특유의 달고 구수한 풍미가 매운 맛을 중화해 줘 술과 안주 모두 맛있게 즐길 수 있습니다.
 "
241,조선주조사,청주 특유의 깔끔함이 살아있는,창원의 쌀과 좋은 물로 만들어 깔끔하고 시원한 맛이 일품인 청주입니다. 부드러운 쌀의 고소한 내음에 시원하고 상큼한 단맛이 느껴져요.,"조선주조사, 어떤 술인가요?
청주 특유의 깔끔함이 살아있는 조선주조사
조선주조사는 100% 국내산 쌀로 빚은 청주입니다.
우리 청주의 맛을 재현하려고 노력하였으며, 깔끔하게 넘어가는 목넘김, 청주 특유의 맑은 맛이 특징인 술입니다.
오픈 시, 달착지근하면서 은은한 꽃향이 올라오는데요.
청주 특유의 맛과 향이 그대로 살아있으며, 높지 않은 도수와 목넘김이 실크처럼 부드러워 혼술하기에도 좋고 식중주로 함께 하기에도 좋습니다.
조선주조사, 어떻게 만드나요?
75여 년의 응축된 양조기술로 빚은 청주
조선주조사는 3대를 잇는 경남 창원의 양조장인 우포의 아침에서 빚는 술로,
할아버지 때부터 내려온 발효기술을 바탕으로 약 75여 년의 응축된 양조기술로 빚은 청주입니다.
조선주조사 패키지에서부터 ‘우리 술의 아름다운 역사를 담다’라는 글을 볼 수 있듯이
해당 내용을 모토로 우리 청주에서 오는 맛과 향의 아름다움을 담으려고 하였습니다.
조선사주조는 100% 국내산 쌀과 입국, 효모, 누룩을 주재료로, 발효, 숙성 과정을 거쳐, 정통 청주로 탄생하였습니다.
조선주조사, 음식과의 궁합은?
해산물 / 주꾸미볶음
조선주조사는 단조로운 맛보다는 단맛과 신맛에 적절한 부드러움이 느껴지는 술이기에 어떤 음식과도 조합이 좋은 편입니다.
그중에서도 각종 신선한 해산물에 곁들이면 좋습니다.
해산물에서 느껴지는 바다의 향을 조선주조사 청주 특유의 향이 잡아주며 입 안을 개운하게 만들어줍니다.
또한, 다소 양념이 강한 음식에도 잘 어울리는 편인데요.
입맛 없는 여름철, 밥반찬으로도, 안주로도 손색이 없는 주꾸미볶음은 양념이 다소 강한 편이지만,
쫄깃쫄깃하면서도 고소한 식감으로 같이 곁들이면 감칠맛을 더해줄 것입니다.
여름에는 차게, 겨울에는 따뜻하게 마시는 등 다양한 음용법으로 조선주조사를 즐겨보시길 바랍니다.
 "
242,한산모시양조장 한산소곡주,오랜 역사를 간직한 ‘앉은뱅이 술’,"구수한 감칠맛과 국화향, 홍고추에서 오는 매운 향이 어우러지면서 묵직한 단 맛을 다채롭게 만들어줍니다.앉은뱅이술의 대명사지요. 원재료를 아낌없이 쓴 만큼 진하게 올라오는 쌀의 단 맛, 숙성을 통한 진한 장향, 그리고 생주 특유의 상큼함이 공존하는 전통주입니다. 서천에서는 한산소곡주를 생아귀찜에 곁들여 먹는 것으로 유명하지요.","한산소곡주, 어떤 술인가요?
오랜 역사를 간직한 ‘앉은뱅이 술’
한산소곡주는 충청남도 서천 지역에서 만드는 전통 약주입니다.
문헌에 기록된 내용에 따라, 기원을 1500년 전 삼국시대로 추측할 정도로 오랜 역사를 지닌 술인데요.
알코올 도수가 16도에 달하지만 특유의 묵직한 질감과 감칠맛, 단 맛이 강해 알코올이 거의 느껴지지 않는 특징이 있어요.
한 번 자리를 잡고 앉아서 마시기 시작하면 자리를 뜨기 어려울 정도로 정신 없이 마시게 된다 해서 '앉은뱅이 술' 이라는 별칭을 가지고 있기도 하지요.
한산소곡주, 어떻게 만드나요?
명인의 손길로 완성하는 전통의 맛
한산소곡주는 한 군데에서만 만들어지지 않습니다.
충남 서천 지역에서 여러 생산자가 각기 조금씩 다른 방식으로 빚어내고 있지요.
한산모시양조장에서 만드는 한산소곡주는 최상급 찹쌀과 멥쌀, 누룩은 물론 홍고추, 솔잎 등 부재료를 활용해 만드는데요.
인공적인 첨가물을 조금도 사용하지 않고 전통 방식에 따라 자연에서 난 그대로의 주재료와 부재료만을 사용합니다.
모든 재료를 넣고 100일 가량 숙성하고 나면 전통의 모습을 간직한 한산소곡주가 만들어져요.
한산소곡주, 음식과의 궁합은?
미나리무침
갈비찜
한산소곡주는 진한 단 맛과 감칠맛이 일품인 술입니다.
쌉쌀한 풍미를 가진 미나리를 활용한 음식이나 간장 양념을 넣고 오래 졸인 갈비찜에 곁들이기 좋습니다.
우선 소곡주의 고소하고 진한 단맛이 쌉싸름한 미나리의 쓴 맛을 중화시킵니다.
달착지근하고 짭짤한 갈비찜을 안주로 할 때는, 음식과 술 각자의 단 맛이 상승작용을 일으켜 감칠맛이 더욱 살아납니다.
 "
243,예천주 만월 40,복분자로 빚은 분홍빛 증류주,"새콤달콤한 복분자의 향이 풍부하게 느껴지는 복분자 증류주예요. 향이 좋은 고도수의 술을 찾으시는 분들에게 추천드려요.은은한 복분자향을 드러내는 증류주입니다. 도수가 높은 편이지만 적당히 온도를 낮춰 마시면 청량하게 즐길 수 있습니다.복분자 향이 엄청나게 강합니다. 알코올도수가 어느 정도 있는데, 달콤한 뉘앙스도 있어서 마치 복분자 사탕을 먹은 듯해요.","예천주 만월, 어떤 술인가요?
복분자로 빚은 분홍빛 증류주, 예천주 만월
예천주 만월은 100% 국내산으로, 청정지역 경상북도 예천에서 재배한 복분자로 빚은 증류주입니다.
2019 대한민국 주류대상 우리술 부문에서 대상을 수상하며, 우수한 품질을 인정받았는데요.
투명하면서도 분홍색 빛의 색감이 매력적입니다.
다소 도수가 높은 편이지만 복분자 향미가 가득해 향긋함을 느낄 수 있는 동시에 목넘김은 부드러워 깔끔한 뒷맛을 선사해줍니다.
만월에서만 맛볼 수 있는 색다른 청량감도 만월만의 특징입니다.
예천주 만월, 어떻게 만드나요?
면역력에 좋은 복분자, 예천의 단물과 만나다.
복분자는 피로회복, 면역력 강화 등 자양강장제 효과에 좋습니다. 이뿐만이 아니라, 항암 효과, 노화방지에도 좋은데요.
흔히 남성에게 좋다고 알려져 있지만, 안토시아닌과 비타민 등이 풍부하여, 여성에게도 정말 좋아요.
이런 효능이 가득한 복분자를 활용한 예천주 만월은 100% 경북 예천에서 재배한 국내산 원료만으로 복분자 증류원액, 과즙을 사용하였으며,
여기에 ‘단물이 샘솟는 고장’으로 일컫는 예천의 물을 더해 향과 맛 모두를 잡았습니다.
예천주 만월, 음식과의 궁합은?
장어구이
전
예천주 만월은 복분자 향이 잘 드러나는 증류주이기에 다소 강한 양념의 음식보다는 장어구이나 전과 같은 음식에 곁들이면 좋습니다.
강한 양념은 자칫 복분자의 향을 제대로 느낄 수 없게 만듭니다.
기력회복의 대표 재료인 찬 성질의 장어와 따뜻한 성질의 복분자는 음식 간의 궁합이 좋기에 이 둘의 조합을 추천드리고 싶은데요.
바쁜 일상 속 지친 심신을 만월과 장어구이로 달래 보는 것은 어떨까요?
 "
244,배도가 로아19 레드,오랜 시간 천천히 내린 하얀 이슬,"사과를 증류하여 만든 사과소주입니다. 처음 한 모금에서 새콤하면서도 상쾌한 사과의 향이 입안을 가득 메우고, 끝에 알싸한 알콜향이 살짝 올라옵니다.","배도가 로아19 레드, 어떤 술인가요?
오랜 시간, 천천히 내린 흰 빛깔의 이슬
배도가 로아19 레드
배도가 로아19 레드는 곡물인 쌀과 과실인 사과를 발효시킨 증류주입니다.
한 방울 한 방울 천천히 내린 흰 빛깔의 이슬을 뜻하는 배도가 로아는 한국적인 느림과 비움 그리고 여유와 풍류를 담았습니다.
과실인 사과를 활용한 증류주를 뜻하는 ‘레드’는 상큼하고 그윽하게 퍼지는 사과향과 달달함이 특징입니다.
낮은 도수는 아니지만, 목넘김이 부드러워 쌀 증류주 본연의 맛을 즐기고 싶다면 스트레이트로 드셔보시는 것을 추천드립니다.
배도가 로아19 레드, 어떻게 만드나요?
3년 여간의 연구 개발 끝에 탄생하다.
배도가 로아는 국내산 쌀과 사과를 원료로 사용하여 빚은 술입니다.
경기농업기술원과 단국대학교가 3년동안 연구개발하여 비로소 배도가 로아가 탄생하였는데요.
서양에는 곡물이나 과일을 발효시킨 증류주를 ‘슈냅스(Schnapps)’라고 하는데, 이 슈냅스에 착안해 만들었습니다.
배도가 로아의 라벨에서는 ‘한 방울 한 방울 천천히 내린 흰 빛깔의 이슬’이라는 문장을 볼 수 있는데요.
국내산 쌀과 사과를 양조한 발효주를 상압식 증류기에 증류하게 되는데, 증류한 뒤 오랜 기간에 걸쳐 천천히 숙성시킨다는 의미를 담고 있습니다.
배도가 로아19 레드, 음식과의 궁합은?
삼겹살
사과와 삼겹살은 최고의 음식 궁합인 것을 알고 계셨나요?
돼지고기와 사과를 함께 먹으면 염분배출을 돕는 작용을 해 성인병을 예방해준다고 해요.
삼겹살처럼 돼지고기나 튀김류를 많이 먹다보면 속이 불편해지는 경향이 있는데요.
배도가 로아19 레드에 곁들여 먹는다면, 돼지고기에서 나오는 기름, 느끼함을 사과의 상큼함이 잡아줄 거예요.
이외에도 다양한 음용법에 따라, 배도가 로아를 즐기실 수 있는데요.
과실향과 쌀 소주 특유의 맛을 느끼고 싶다면 스트레이트로, 좀 더 부드럽게 즐기고 싶다면 온더락으로,
높은 도수의 술은 아니지만 술이 약하신 분들이라면 탄산수와 함께 먹는 하이볼로 마셔보면 배도가 로아를 좀 더 색다르게 즐기실 수 있을 거랍니다.
 "
245,막이오름 막걸리,모든 안주에 맞는 시그니처 막걸리,목넘김이 시원하고 은은한 쌀 향이 매력적인 술입니다. 깨끗하고 깔끔해서 다양한 음식과 잘 어울려요.무겁지 않고 향긋한 과일향이 나고 살균인데도 입에 머금으면 살짝 탄산느낌이 나서 매력만점이네요.,"막이오름 막걸리, 어떤 술인가요?
모든 안주에 잘 맞는 시그니처 막걸리
막이오름 막걸리는 젊은 감성을 가진 전통주점, '막이오름'을 대표하는 시그니처 막걸리입니다.
업장에서만 판매하는 한정 제품으로 쌀 등 곡물 향이 은은하게 드러나는 풍미와 단 맛, 개운하고 청량한 탄산감이 주요한 특징이지요.
막이오름에서 취급하는 모든 메뉴에 무난히 잘 어울리는 제품입니다.
생맥주처럼 탭에서 따라 제공되는 '탭 막걸리'로도 유명한데요.
병으로 된 제품 역시 판매하지만 한 병을 다 비우기 부담스러운 경우에 고를 수 있는 선택지로 인기가 좋습니다.
막이오름 막걸리, 어떻게 만드나요?
믿고 마실 수 있는 깔끔한 제조공정
막이오름 막걸리는 깨끗하고 믿을 수 있는 재료를 사용하는 생산 환경 속에서 만들어지는데요.
업계 최초로 식품안전관리인증인 HACCP 인증을 받은 우리술 양조장에서 막이오름 막걸리의 제조를 맡고 있습니다.
특히 우리술 양조장은 맑고 깨끗한 환경을 자랑하는 가평 지역 지하 암반수를 지하 250m 부근에서 끌어올려 양조용수로 사용하지요.
인증 받은 양조 과정에 뛰어난 수질을 더해 막이오름 막걸리는 한층 높은 품질을 갖추게 됩니다.
막이오름 막걸리, 음식과의 궁합은?
우삼겹 국물떡볶이
매콤 해물토마토 스튜
막이오름 막걸리는 막이오름에서 판매하는 모든 메뉴에 잘 맞도록 만들어진 막걸리인데요.
청량한 탄산감과 단 맛이 두드러져 막이오름의 우삼겹 국물떡볶이, 매콤 해물토마토 스튜에 특히 곁들이기 좋습니다.
호불호가 크게 갈리지 않는 막이오름 막걸리의 달콤쌉쌀한 맛이 기름지고 매콤하면서 짠 안주 맛을 전부 커버해 즐거운 한 상을 만들어 냅니다.
 "
246,선운산의 아침 오디,오디로 만든 달달한 과실주,"식후에 이탈리아 스낵인 칸투치니와 함께 드시는 것을 추천드립니다. 딱딱한 아몬드 계열의 비스킷을 이 술에 찍어서 먹으면 이탈리아식 찍먹을 경험할 수 있습니다.복분자와 비슷한 과실의 캐릭터가 있지만, 단 맛이 적어 담백하고 새콤하게 마실 수 있는 과실주입니다. 양념이 된 고기류나 볶음요리와 잘 어울립니다.","선운산의 아침 오디, 어떤 술인가요?
뽕나무 열매, 오디로 만든 달달한 과실주
선운산의 아침 오디는 국내산 1등급 오디로 빚은 과실주입니다.
오디는 쉽게 말해, 뽕나무 열매인데요. 웰빙음식으로 주목받고 있는 블랙푸드의 대명사입니다.
이런 오디로 빚은 선운산의 아침은 단맛과 산미가 특징이며, 이 둘은 최상의 밸런스를 자랑합니다.
한 입 머금고 있으면 입 안에 오디의 향과 맛이 맴돌아 자꾸만 생각나게 만듭니다.
알코올 도수는 12.5%로 높지 않아 반주로 즐기기에도 좋습니다.
선운산의 아침 오디, 어떻게 만드나요?
1등급 오디로만 제조한 오디명주
당분과 수분이 풍부하며, 노화를 억제하는 기능성 성분으로 유명한 과실인 오디는 흔히 뽕나무 열매라고 생각하시면 쉬운데요.
오디로 만든 술은 예로부터 선인주, 상심주로 불릴 만큼 귀한 술로 여겨졌습니다.
선운산의 아침 오디는 1등급 오디만을 선별해 사용합니다. 수확 후 보관신선도를 유지하기 위해 급속냉동을 진행하는데요.
이후, 효모균을 발효하여 최적의 숙성기간을 거치면 선운산의 아침 오디가 완성됩니다.
선운산의 아침 오디, 음식과의 궁합은?
치즈
장어구이
선운산의 아침 오디는 오디의 풍미와 은은한 향이 입안 가득 기분 좋게 퍼지는 술인데요.
이런 특징을 가진 과실주 본연의 맛을 느끼기 위해서는 양념이 다소 강한 음식보다는 담백한 음식에 곁들이는 것을 추천드립니다.
조금 더 쉽게 생각하자면, 레드와인과 어울리는 음식을 생각하시면 쉬울 듯 합니다.
대표적으로 장어구이와 치즈인데, 이런 음식에 선운산의 아침 오디를 곁들인다면 깊은 풍미를 그대로 느낄 수 있습니다.
 "
